run_id,ts,world_id,campaign_id,task_id,model_id,provider,agent_config_id,environment,reasoning_effort,grader_type,status,score,passed,num_verifiers,num_verifiers_passed,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,cost_usd,duration_ms,num_tool_calls
run_mp915x6o_397751,2026-05-17T00:22:00Z,w_0006,cmp_0006,task_33,m_mistral_large,mistral,ac_react,prod,high,judge,completed,0.5329,0,3,2,20684,135783,73496,30041,0.945868,57822,25
run_mp9t7fs0_616350,2026-05-17T13:27:00Z,w_0008,cmp_0008,task_3099,m_claude_opus,anthropic,ac_single_shot,prod,low,gt,completed,0.6751,0,5,3,71403,78479,173831,18344,7.561666,12847,3
run_mp94udpc_717013,2026-05-17T02:05:00Z,w_0004,cmp_0004,task_2366,m_gpt5,openai,ac_stirrup,prod,medium,judge,completed,0.4507,0,3,1,75999,7614,0,112415,2.393598,97144,8
run_mpa6a480_940829,2026-05-17T19:33:00Z,w_0007,cmp_0007,task_3349,m_gpt5,openai,ac_lighthouse,prod,medium,judge,completed,0.6002,0,8,5,93265,13985,0,0,1.3522,20395,19
run_mp9g4rc0_608780,2026-05-17T07:21:00Z,w_0003,cmp_0003,task_3138,m_claude_opus,anthropic,ac_react,prod,high,programmatic,completed,0.6166,0,7,4,58489,31544,0,0,3.243135,48458,13
run_mp96rtpc_450640,2026-05-17T02:59:00Z,,,task_508,m_gpt5,openai,ac_terminus,prod,medium,judge,errored,,0,2,0,58418,11861,0,61778,1.712235,32821,22
run_mpabzvmo_396271,2026-05-17T22:13:00Z,w_0002,cmp_0002,task_1649,m_claude_haiku,anthropic,ac_single_shot,prod,medium,judge,completed,0.3411,0,6,2,22157,26516,0,24158,0.147948,15158,1
run_mpa2pilc_166328,2026-05-17T17:53:00Z,w_0009,cmp_0001,task_1010,m_llama3_70b,meta,ac_terminus,prod,low,judge,timeout,,0,3,0,39968,10503,36482,20170,0.047641,34575,13
run_mp99pa00_721306,2026-05-17T04:21:00Z,w_0015,cmp_0007,task_3919,m_claude_sonnet,anthropic,ac_stirrup,prod,high,judge,completed,0.6573,0,7,5,53425,414104,26539,16114,6.440224,79650,23
run_mp9aqklc_973901,2026-05-17T04:50:00Z,,,task_2200,m_gpt5_mini,openai,ac_terminus,dev,medium,judge,errored,,0,8,0,103704,42679,48971,0,0.139659,,16
run_mp930slc_605852,2026-05-17T01:14:00Z,w_0006,cmp_0006,task_550,m_claude_sonnet,anthropic,ac_single_shot,prod,medium,judge,completed,0.8687,1,6,5,121479,28423,41955,10272,0.841889,4565,3
run_mp9crvhc_467086,2026-05-17T05:47:00Z,w_0010,cmp_0002,task_698,m_gemini_flash,google,ac_lighthouse,prod,medium,judge,completed,0.3575,0,7,3,35782,58394,0,0,0.080807,22748,39
run_mp9zmx40_776001,2026-05-17T16:27:00Z,w_0005,cmp_0005,task_2567,m_gpt5,openai,ac_lighthouse,prod,low,judge,completed,0.5253,0,4,2,150385,10326,0,0,1.81363,62940,29
run_mp9p64ao_946293,2026-05-17T11:34:00Z,w_0005,cmp_0005,task_2302,m_gpt4o,openai,ac_stirrup,prod,high,judge,completed,0.4139,0,7,3,40521,20717,56256,0,0.378793,52465,40
run_mpa8xa5c_856702,2026-05-17T20:47:00Z,w_0002,cmp_0002,task_435,m_claude_haiku,anthropic,ac_react,staging,medium,judge,timeout,,0,7,0,29832,85285,12684,0,0.36602,75887,7
run_mpa92fc0_246004,2026-05-17T20:51:00Z,,,task_1276,m_gpt5_mini,openai,ac_single_shot,prod,high,programmatic,cancelled,,0,5,0,26461,61142,294136,62340,0.187625,9259,2
run_mp9w3ls0_553825,2026-05-17T14:48:00Z,w_0007,cmp_0007,task_3080,m_claude_opus,anthropic,ac_lighthouse,prod,medium,judge,completed,0.7936,1,3,2,78180,66913,0,0,6.191175,50815,22
run_mpa6hu00_465130,2026-05-17T19:39:00Z,w_0003,cmp_0003,task_3450,m_gpt4o,openai,ac_single_shot,prod,medium,judge,errored,,0,5,0,35499,41113,0,0,0.499878,,2
run_mpaaa5eo_700474,2026-05-17T21:25:00Z,w_0008,cmp_0008,task_2808,m_claude_haiku,anthropic,ac_terminus,prod,medium,judge,completed,0.5902,0,2,1,71021,53223,0,0,0.269709,80536,7
run_mp9j3hxc_721790,2026-05-17T08:44:00Z,w_0011,cmp_0003,task_166,m_claude_opus,anthropic,ac_single_shot,prod,low,programmatic,completed,0.6602,0,6,4,64568,35332,0,24235,4.072826,12107,2
run_mp9xbbuo_689352,2026-05-17T15:22:00Z,w_0004,cmp_0004,task_596,m_mistral_large,mistral,ac_stirrup,prod,medium,programmatic,completed,0.1699,0,2,0,87970,14589,0,13191,0.296452,78369,17
run_mpabe0lc_835386,2026-05-17T21:56:00Z,w_0006,cmp_0006,task_3563,m_claude_opus,anthropic,ac_single_shot,prod,low,judge,completed,0.599,0,3,2,141070,41366,113576,15578,5.680952,7061,1
run_mpa7a4io_865578,2026-05-17T20:01:00Z,w_0008,cmp_0008,task_744,m_gpt5_mini,openai,ac_single_shot,prod,medium,programmatic,timeout,,0,5,0,132104,58644,0,3076,0.185186,,3
run_mpa78u80_284275,2026-05-17T20:00:00Z,w_0008,cmp_0008,task_2548,m_gemini_flash,google,ac_terminus,prod,low,gt,completed,0.2777,0,3,1,102482,13171,61366,0,0.048391,191146,10
run_mpa669c0_268831,2026-05-17T19:30:00Z,w_0010,cmp_0002,task_3060,m_gpt5_mini,openai,ac_terminus,prod,medium,gt,cancelled,,0,8,0,27025,32736,28997,0,0.080434,,2
run_mp9y7h9c_615058,2026-05-17T15:47:00Z,w_0013,cmp_0005,task_1790,m_gpt4o,openai,ac_terminus,prod,medium,judge,timeout,,0,2,0,138884,29897,174894,0,0.864798,,9
run_mpa6kelc_813001,2026-05-17T19:41:00Z,w_0013,cmp_0005,task_1606,m_claude_sonnet,anthropic,ac_single_shot,prod,high,judge,completed,0.863,1,3,3,15763,30770,159550,58847,0.77738,11462,1
run_mp9j9xeo_701985,2026-05-17T08:49:00Z,,,task_132,m_gpt5,openai,ac_terminus,staging,low,programmatic,errored,,0,3,0,20431,10586,46352,16119,0.781318,,37
run_mpa52e5c_804856,2026-05-17T18:59:00Z,w_0007,cmp_0007,task_2872,m_claude_sonnet,anthropic,ac_single_shot,prod,high,programmatic,completed,0.5682,0,4,2,102524,92044,15471,0,1.692873,7671,0
run_mp9ghmao_935273,2026-05-17T07:31:00Z,w_0004,cmp_0004,task_662,m_claude_sonnet,anthropic,ac_stirrup,staging,medium,judge,completed,0.3459,0,6,2,55978,6994,157070,0,0.319965,18993,6
run_mp9d8lc0_656776,2026-05-17T06:00:00Z,w_0005,cmp_0005,task_2939,m_claude_opus,anthropic,ac_single_shot,staging,low,programmatic,completed,0.6167,0,3,2,86229,83460,138053,4912,7.852115,8519,3
run_mpa4f8tc_930560,2026-05-17T18:41:00Z,w_0005,cmp_0005,task_277,m_claude_sonnet,anthropic,ac_lighthouse,prod,low,programmatic,completed,0.4189,0,5,2,55270,84576,63075,12130,1.49886,22375,33
run_mpa3myao_652164,2026-05-17T18:19:00Z,w_0002,cmp_0002,task_2347,m_claude_sonnet,anthropic,ac_stirrup,prod,low,judge,errored,,0,8,0,79341,46360,0,0,0.933423,,39
run_mp9ohoo0_603909,2026-05-17T11:15:00Z,w_0005,cmp_0005,task_943,m_claude_sonnet,anthropic,ac_react,prod,medium,judge,errored,,0,7,0,89674,9219,82079,10478,0.471223,,2
run_mpa2zsyo_401476,2026-05-17T18:01:00Z,w_0008,cmp_0008,task_1653,m_claude_opus,anthropic,ac_stirrup,prod,medium,judge,completed,0.5177,0,2,1,47506,13664,120581,0,1.918262,96081,32
run_mpa2qsw0_920701,2026-05-17T17:54:00Z,w_0013,cmp_0005,task_2675,m_claude_sonnet,anthropic,ac_react,prod,low,programmatic,completed,0.585,0,5,3,64079,42308,92876,0,0.85472,52524,5
run_mpa5keao_500596,2026-05-17T19:13:00Z,w_0002,cmp_0002,task_2741,m_gemini_pro,google,ac_lighthouse,prod,low,judge,completed,0.5512,0,5,3,104367,31378,0,0,0.694754,129507,12
run_mp97zjs0_997314,2026-05-17T03:33:00Z,w_0003,cmp_0003,task_600,m_llama3_70b,meta,ac_react,prod,high,gt,completed,0.4181,0,5,2,39705,13693,0,0,0.033408,36359,6
run_mp9yvww0_953672,2026-05-17T16:06:00Z,w_0002,cmp_0002,task_395,m_llama3_70b,meta,ac_single_shot,prod,medium,judge,completed,0.2686,0,2,1,117396,36152,0,51947,0.132107,18324,1
run_mpa1lneo_547556,2026-05-17T17:22:00Z,w_0010,cmp_0002,task_414,m_claude_sonnet,anthropic,ac_lighthouse,prod,medium,programmatic,cancelled,,0,8,0,133786,22690,250227,15639,0.875422,49760,12
run_mpa9huw0_515759,2026-05-17T21:03:00Z,w_0015,cmp_0007,task_3086,m_gpt5_mini,openai,ac_terminus,prod,medium,gt,errored,,0,5,0,62371,66984,0,0,0.165154,42345,17
run_mp9hycg0_833962,2026-05-17T08:12:00Z,w_0010,cmp_0002,task_1565,m_gpt4o,openai,ac_terminus,staging,low,programmatic,completed,0.4021,0,3,1,43273,12844,25480,39991,0.388446,163497,24
run_mp9iix6o_370589,2026-05-17T08:28:00Z,w_0014,cmp_0006,task_3750,m_claude_sonnet,anthropic,ac_react,prod,medium,judge,completed,0.5644,0,8,5,37128,54594,0,0,0.930294,49525,3
run_mp9xzrhc_998054,2026-05-17T15:41:00Z,w_0010,cmp_0002,task_1807,m_gpt5,openai,ac_terminus,prod,low,programmatic,completed,0.5685,0,3,2,441759,40444,110731,0,5.769324,78452,20
run_mp9xqreo_253254,2026-05-17T15:34:00Z,w_0003,cmp_0003,task_1988,m_gpt5_mini,openai,ac_single_shot,prod,medium,judge,completed,0.472,0,3,1,226615,19006,86156,5760,0.159083,5255,2
run_mpabbg00_792058,2026-05-17T21:54:00Z,w_0013,cmp_0005,task_558,m_claude_sonnet,anthropic,ac_react,prod,medium,judge,completed,0.6145,0,3,2,19289,6677,283456,356494,1.579911,51459,39
run_mpafoc5c_860428,2026-05-17T23:56:00Z,w_0006,cmp_0006,task_1127,m_gpt5,openai,ac_single_shot,prod,medium,programmatic,completed,0.6671,0,8,5,47450,27190,38121,5402,1.405376,4252,0
run_mp9gvrk0_157323,2026-05-17T07:42:00Z,w_0013,cmp_0005,task_3606,m_claude_haiku,anthropic,ac_single_shot,staging,low,programmatic,errored,,0,5,0,13828,32746,0,18241,0.160287,14190,2
run_mpa3tds0_814801,2026-05-17T18:24:00Z,w_0007,cmp_0007,task_3295,m_claude_sonnet,anthropic,ac_single_shot,prod,medium,gt,completed,0.5296,0,6,3,492123,9030,197898,0,1.671188,4555,2
run_mpa6o9hc_829669,2026-05-17T19:44:00Z,w_0003,cmp_0003,task_3089,m_gpt5_mini,openai,ac_stirrup,prod,medium,programmatic,completed,0.442,0,4,2,62453,55718,0,7711,0.147289,65781,32
run_mpa8kf6o_908996,2026-05-17T20:37:00Z,w_0003,cmp_0003,task_3636,m_gemini_pro,google,ac_react,prod,medium,programmatic,completed,0.4866,0,4,2,18096,80921,0,0,0.913007,36541,31
run_mp9kqnk0_606125,2026-05-17T09:30:00Z,,,task_75,m_gpt5_mini,openai,ac_lighthouse,prod,low,programmatic,errored,,0,4,0,231703,34179,0,0,0.18421,,15
run_mp9whr1c_232366,2026-05-17T14:59:00Z,,,task_2173,m_mistral_large,mistral,ac_react,prod,medium,judge,errored,,0,3,0,288056,24592,0,0,0.723664,148057,10
run_mp99k4tc_195669,2026-05-17T04:17:00Z,w_0015,cmp_0007,task_3561,m_gemini_flash,google,ac_lighthouse,staging,low,programmatic,completed,0.5431,0,4,2,178702,27112,0,0,0.086145,27204,16
run_mp91b2dc_320316,2026-05-17T00:26:00Z,w_0008,cmp_0008,task_2786,m_gpt4o,openai,ac_lighthouse,prod,medium,judge,completed,0.3718,0,4,1,356540,35906,359997,0,1.700406,14081,9
run_mpa7zug0_763013,2026-05-17T20:21:00Z,w_0012,cmp_0004,task_1597,m_gpt4o,openai,ac_react,prod,high,judge,completed,0.6056,0,5,3,55451,38075,79562,190116,1.189178,43958,6
run_mpackgdc_589126,2026-05-17T22:29:00Z,w_0010,cmp_0002,task_2391,m_gpt5,openai,ac_single_shot,staging,medium,gt,completed,0.6107,0,2,1,254899,14445,45436,0,3.039135,12347,3
run_mpa0yi2o_319576,2026-05-17T17:04:00Z,w_0005,cmp_0005,task_3964,m_claude_sonnet,anthropic,ac_terminus,staging,low,judge,completed,0.5367,0,2,1,148444,31462,0,3190,0.929225,68631,11
run_mpa57jc0_944527,2026-05-17T19:03:00Z,w_0007,cmp_0007,task_2229,m_gpt5_mini,openai,ac_stirrup,prod,medium,judge,completed,0.4761,0,4,2,86485,26234,0,23951,0.110081,140273,19
run_mp94b39c_525602,2026-05-17T01:50:00Z,w_0015,cmp_0007,task_1547,m_claude_sonnet,anthropic,ac_stirrup,prod,high,gt,completed,0.6201,0,6,4,43809,3802,63211,22874,0.293198,21684,37
run_mpa8xa5c_638153,2026-05-17T20:47:00Z,w_0013,cmp_0005,task_3228,m_gpt5_mini,openai,ac_stirrup,prod,high,gt,completed,0.4917,0,7,3,39235,25241,146672,0,0.077433,41536,3
run_mpa2hstc_377345,2026-05-17T17:47:00Z,w_0004,cmp_0004,task_1865,m_gemini_pro,google,ac_single_shot,prod,medium,judge,completed,0.3975,0,2,1,205418,92788,0,34281,1.830361,3672,1
run_mpa58tmo_409365,2026-05-17T19:04:00Z,w_0015,cmp_0007,task_2693,m_claude_opus,anthropic,ac_lighthouse,prod,high,judge,completed,0.6283,0,4,3,49257,17784,0,0,2.072655,152098,22
run_mp9pk9k0_976482,2026-05-17T11:45:00Z,w_0002,cmp_0002,task_3225,m_gemini_flash,google,ac_stirrup,prod,medium,gt,completed,0.3467,0,5,2,33011,32075,167963,11813,0.058157,35709,4
run_mp9ss080_617258,2026-05-17T13:15:00Z,w_0007,cmp_0007,task_2228,m_gpt4o,openai,ac_single_shot,prod,high,judge,completed,0.4589,0,6,3,48215,23311,856971,18827,1.481342,25122,1
run_mp9w4w2o_818918,2026-05-17T14:49:00Z,w_0004,cmp_0004,task_3084,m_gemini_pro,google,ac_single_shot,staging,high,programmatic,completed,0.4969,0,7,3,47648,15502,38062,0,0.342861,16768,3
run_mpabtg5c_427387,2026-05-17T22:08:00Z,w_0006,cmp_0006,task_2930,m_gpt5,openai,ac_react,prod,medium,judge,completed,0.4892,0,6,3,69671,49289,0,0,2.17538,34585,37
run_mp9e265c_421852,2026-05-17T06:23:00Z,w_0013,cmp_0005,task_1760,m_claude_opus,anthropic,ac_lighthouse,prod,medium,programmatic,timeout,,0,2,0,226666,86501,43963,0,9.95351,18398,36
run_mp98qk00_434325,2026-05-17T03:54:00Z,w_0015,cmp_0007,task_3246,m_mistral_large,mistral,ac_single_shot,prod,medium,gt,completed,0.6472,0,5,3,103015,99123,33213,11702,0.836666,10589,0
run_mp9gk6w0_996050,2026-05-17T07:33:00Z,w_0014,cmp_0006,task_2097,m_claude_sonnet,anthropic,ac_terminus,prod,high,judge,completed,0.5134,0,3,2,73028,16659,132885,0,0.508835,35854,28
run_mpa07huo_328083,2026-05-17T16:43:00Z,w_0007,cmp_0007,task_3552,m_claude_haiku,anthropic,ac_single_shot,prod,low,judge,timeout,,0,2,0,46863,30307,0,25827,0.184545,7559,3
run_mp91nxc0_519205,2026-05-17T00:36:00Z,w_0010,cmp_0002,task_330,m_claude_haiku,anthropic,ac_lighthouse,prod,medium,judge,completed,0.3393,0,2,1,42938,12523,106217,0,0.09294,52402,16
run_mpa6mz6o_143357,2026-05-17T19:43:00Z,w_0010,cmp_0002,task_1692,m_claude_sonnet,anthropic,ac_single_shot,prod,high,programmatic,completed,0.66,0,7,5,81421,18501,69603,27655,0.646365,14034,3
run_mp9biv40_394099,2026-05-17T05:12:00Z,w_0010,cmp_0002,task_3705,m_claude_sonnet,anthropic,ac_lighthouse,prod,medium,judge,completed,0.3417,0,2,1,74540,50378,0,12752,1.02711,69909,33
run_mpa4qthc_650154,2026-05-17T18:50:00Z,w_0012,cmp_0004,task_921,m_gpt5_mini,openai,ac_lighthouse,prod,low,judge,completed,0.0698,0,5,0,18758,8142,73663,0,0.029346,40874,14
run_mp9j62io_389718,2026-05-17T08:46:00Z,w_0013,cmp_0005,task_706,m_claude_haiku,anthropic,ac_react,prod,medium,programmatic,completed,0.2708,0,8,2,60279,20512,0,35851,0.166122,355039,10
run_mpac8vpc_666177,2026-05-17T22:20:00Z,w_0007,cmp_0007,task_3629,m_gpt5_mini,openai,ac_terminus,prod,medium,judge,errored,,0,3,0,64927,14589,32634,0,0.063273,73592,32
run_mpa37iqo_426051,2026-05-17T18:07:00Z,w_0007,cmp_0007,task_1271,m_claude_sonnet,anthropic,ac_terminus,prod,low,programmatic,completed,0.6231,0,2,1,224544,26330,0,25844,1.165497,29685,9
run_mp98letc_406033,2026-05-17T03:50:00Z,w_0010,cmp_0002,task_3610,m_claude_sonnet,anthropic,ac_single_shot,prod,low,programmatic,completed,0.7185,1,8,6,30998,16102,24718,0,0.341939,10110,2
run_mp9vkbc0_556421,2026-05-17T14:33:00Z,w_0014,cmp_0006,task_1636,m_gpt5_mini,openai,ac_lighthouse,prod,high,gt,errored,,0,4,0,132907,20895,31502,0,0.109819,,10
run_mpa1piao_397542,2026-05-17T17:25:00Z,w_0011,cmp_0003,task_1005,m_gpt5,openai,ac_react,prod,medium,judge,completed,0.438,0,2,1,80473,13227,0,44461,1.757303,89634,33
run_mp9h7c80_771465,2026-05-17T07:51:00Z,w_0005,cmp_0005,task_2776,m_claude_haiku,anthropic,ac_react,dev,medium,gt,completed,0.3701,0,6,2,78528,48058,0,32070,0.287124,26236,3
run_mpafgmdc_574205,2026-05-17T23:50:00Z,w_0002,cmp_0002,task_238,m_gemini_pro,google,ac_single_shot,prod,medium,judge,timeout,,0,2,0,249517,25462,140275,0,1.189757,,2
run_mp9zlmtc_378076,2026-05-17T16:26:00Z,w_0014,cmp_0006,task_780,m_claude_haiku,anthropic,ac_react,staging,medium,programmatic,completed,0.3133,0,5,2,60671,23470,44918,14734,0.160744,101030,18
run_mp923cw0_409937,2026-05-17T00:48:00Z,w_0006,cmp_0006,task_2173,m_gpt5,openai,ac_single_shot,prod,high,judge,completed,0.8677,1,5,4,66689,10293,0,4487,1.031768,4852,3
run_mp97p9eo_116809,2026-05-17T03:25:00Z,w_0010,cmp_0002,task_3033,m_claude_sonnet,anthropic,ac_terminus,prod,medium,gt,completed,0.6803,0,6,4,44371,55188,0,0,0.960933,51591,16
run_mp9mt8qo_186061,2026-05-17T10:28:00Z,,,task_1491,m_claude_sonnet,anthropic,ac_react,prod,low,judge,errored,,0,6,0,103742,144399,0,0,2.477211,36331,37
run_mp92nxmo_994911,2026-05-17T01:04:00Z,,,task_2330,m_gemini_flash,google,ac_single_shot,staging,high,judge,errored,,0,6,0,70851,185008,0,0,0.243265,15045,2
run_mp955ydc_492035,2026-05-17T02:14:00Z,w_0009,cmp_0001,task_3478,m_gpt5,openai,ac_single_shot,prod,medium,programmatic,completed,0.391,0,7,3,37858,9332,0,179394,2.900965,3353,1
run_mp93zilc_488762,2026-05-17T01:41:00Z,w_0005,cmp_0005,task_2708,m_gpt4o,openai,ac_terminus,prod,medium,gt,completed,0.3387,0,6,2,527716,15862,34755,14923,1.566123,12218,12
run_mp975yyo_997899,2026-05-17T03:10:00Z,w_0004,cmp_0004,task_424,m_gpt5_mini,openai,ac_stirrup,prod,high,judge,completed,0.2989,0,3,1,67477,5198,0,0,0.044135,56980,25
run_mp94ey5c_254530,2026-05-17T01:53:00Z,w_0007,cmp_0007,task_2184,m_gpt4o,openai,ac_react,prod,high,judge,completed,0.5857,0,3,2,22881,45859,87638,73686,0.846398,40278,36
run_mpa4a3mo_675928,2026-05-17T18:37:00Z,w_0005,cmp_0005,task_2255,m_gemini_pro,google,ac_single_shot,prod,medium,programmatic,completed,0.7198,1,7,5,64860,27348,71089,0,0.539045,23609,0
run_mp9i4rxc_759019,2026-05-17T08:17:00Z,w_0013,cmp_0005,task_2070,m_gpt5_mini,openai,ac_lighthouse,prod,low,judge,completed,0.3203,0,5,2,55754,26006,34431,68615,0.12278,31962,25
run_mpadn19c_766347,2026-05-17T22:59:00Z,w_0015,cmp_0007,task_3892,m_claude_sonnet,anthropic,ac_lighthouse,prod,medium,programmatic,completed,0.6156,0,2,1,111603,91857,0,11206,1.754687,73226,29
run_mpaegm2o_638030,2026-05-17T23:22:00Z,w_0008,cmp_0008,task_526,m_mistral_large,mistral,ac_single_shot,prod,high,judge,timeout,,0,7,0,19241,75611,87694,0,0.509687,30899,2
run_mp9j8n40_799777,2026-05-17T08:48:00Z,w_0002,cmp_0002,task_3513,m_claude_sonnet,anthropic,ac_stirrup,prod,high,judge,completed,0.346,0,2,1,65689,27439,241273,14555,0.735615,128602,40
run_mp91y7pc_779974,2026-05-17T00:44:00Z,w_0014,cmp_0006,task_864,m_claude_sonnet,anthropic,ac_stirrup,prod,medium,judge,completed,0.7541,1,8,6,23457,7639,104456,0,0.216293,38300,34
run_mp9mciw0_545216,2026-05-17T10:15:00Z,w_0004,cmp_0004,task_947,m_gpt5_mini,openai,ac_react,prod,high,gt,completed,0.2083,0,4,1,73375,35058,45705,0,0.109089,79923,18
run_mp985z9c_920448,2026-05-17T03:38:00Z,w_0014,cmp_0006,task_3263,m_gpt5,openai,ac_react,prod,medium,judge,completed,0.5512,0,8,4,84825,104081,20536,19493,4.240013,52518,8
run_mp9m3itc_642587,2026-05-17T10:08:00Z,w_0010,cmp_0002,task_2821,m_gemini_flash,google,ac_stirrup,dev,low,programmatic,completed,0.5841,0,6,4,17269,30342,0,0,0.041591,20111,35
run_mp9tvveo_125245,2026-05-17T13:46:00Z,w_0004,cmp_0004,task_990,m_claude_haiku,anthropic,ac_stirrup,prod,high,programmatic,completed,0.1063,0,4,0,35467,15952,129303,0,0.102526,79187,31
run_mp9dugdc_582644,2026-05-17T06:17:00Z,w_0015,cmp_0007,task_1309,m_claude_sonnet,anthropic,ac_terminus,prod,medium,judge,completed,0.674,0,2,1,263615,8279,41783,6373,0.951464,70589,28
