event_id,ts,customer_id,service_id,surface,model_id,provider,environment,region,token_type,tokens,requests,cost_usd,latency_ms,attribution_status
evt_mpa5qts0_288950,2026-05-17T19:18:00Z,C_00009,svc_annotation_api,backend_service,m_gpt5_mini,openai,dev,apac,output,1334462,890,2.668924,682,attributed
evt_mpa5htpc_663650,2026-05-17T19:11:00Z,C_00017,svc_search,backend_service,m_gpt5,openai,prod,apac,cache_read,2059005,343,2.573756,2182,attributed
evt_mpa2kdeo_321780,2026-05-17T17:49:00Z,,,unknown,m_gpt5_mini,openai,prod,apac,output,1846981,1231,3.693962,834,unknown
evt_mp9bf080_902638,2026-05-17T05:09:00Z,C_00016,svc_trajectory_runner,backend_service,m_gpt5,openai,staging,us-west,input,4232667,705,42.32667,1602,attributed
evt_mp9ilhs0_457644,2026-05-17T08:30:00Z,C_00014,svc_headshot,backend_service,m_claude_sonnet,anthropic,prod,eu,input,4330467,722,12.991401,933,attributed
evt_mpa2pilc_599412,2026-05-17T17:53:00Z,C_00011,svc_voice,user_token,m_claude_sonnet,anthropic,prod,us-east,output,251836,168,3.77754,818,attributed
evt_mp9tckyo_346723,2026-05-17T13:31:00Z,C_00021,svc_sourcing,backend_service,m_claude_sonnet,anthropic,prod,apac,cache_read,11741432,1957,3.52243,1217,partial
evt_mpa7dzeo_541222,2026-05-17T20:04:00Z,C_00001,svc_search,backend_service,m_claude_haiku,anthropic,prod,apac,input,6268151,1045,5.014521,1604,attributed
evt_mp9bufs0_616969,2026-05-17T05:21:00Z,C_00018,svc_trajectory_runner,backend_service,m_claude_sonnet,anthropic,prod,us-east,cache_write,2675690,446,10.033837,210,attributed
evt_mp9ogedc_323056,2026-05-17T11:14:00Z,,,unknown,m_gpt5,openai,prod,us-east,input,4078900,680,40.789,1477,unknown
evt_mp9c25k0_797145,2026-05-17T05:27:00Z,,,unknown,m_claude_sonnet,anthropic,prod,apac,output,821538,548,12.32307,901,unknown
evt_mpa9lps0_702513,2026-05-17T21:06:00Z,,,unknown,m_claude_sonnet,anthropic,prod,us-east,output,3189227,2126,47.838405,1367,unknown
evt_mp9zvx6o_542612,2026-05-17T16:34:00Z,C_00014,svc_eval_orchestrator,batch_job,m_claude_sonnet,anthropic,prod,eu,output,449919,300,6.748785,,attributed
evt_mp9n4teo_550964,2026-05-17T10:37:00Z,C_00036,svc_annotation_api,web_app,m_claude_opus,anthropic,prod,eu,output,402133,268,30.159975,574,attributed
evt_mpadbglc_965674,2026-05-17T22:50:00Z,C_00005,svc_web_app,web_app,m_claude_sonnet,anthropic,prod,us-west,input,1598301,266,4.794903,756,attributed
evt_mp9eybk0_354445,2026-05-17T06:48:00Z,C_00012,svc_eval_orchestrator,batch_job,m_gemini_flash,google,prod,us-west,output,1000447,667,1.200536,3902,attributed
evt_mpa54yqo_953094,2026-05-17T19:01:00Z,C_00034,svc_web_app,web_app,m_gpt4o,openai,prod,us-west,output,1018674,679,10.18674,253,partial
evt_mp9d0vk0_670339,2026-05-17T05:54:00Z,C_00027,svc_ingest,backend_service,m_claude_opus,anthropic,staging,us-west,input,4114243,686,61.713645,783,attributed
evt_mp9cyayo_542145,2026-05-17T05:52:00Z,C_00017,svc_trajectory_runner,backend_service,m_claude_sonnet,anthropic,prod,apac,output,665848,444,9.98772,2443,attributed
evt_mpae16io_355811,2026-05-17T23:10:00Z,C_00021,svc_batch_grader,batch_job,m_gpt5_mini,openai,staging,apac,input,4927987,821,2.463994,5539,partial
evt_mp99pa00_454400,2026-05-17T04:21:00Z,C_00032,svc_batch_grader,batch_job,m_claude_sonnet,anthropic,prod,us-east,cache_read,8727530,1455,2.618259,,attributed
evt_mp9mt8qo_269724,2026-05-17T10:28:00Z,C_00005,svc_headshot,backend_service,m_gemini_pro,google,staging,eu,output,112787,75,1.184264,1552,attributed
evt_mp98ruao_166842,2026-05-17T03:55:00Z,C_00008,svc_playground,web_app,m_claude_sonnet,anthropic,staging,apac,cache_read,22116623,3686,6.634987,531,attributed
evt_mp9cpaw0_384526,2026-05-17T05:45:00Z,C_00027,svc_web_app,web_app,m_claude_haiku,anthropic,prod,us-west,input,2818721,470,2.254977,820,attributed
evt_mp9xcm5c_437833,2026-05-17T15:23:00Z,,,unknown,m_gpt5_mini,openai,prod,us-west,output,1747173,1165,3.494346,936,unknown
evt_mpaapkyo_144546,2026-05-17T21:37:00Z,C_00012,svc_web_app,user_token,m_gpt5_mini,openai,prod,us-west,output,962853,642,1.925706,1309,attributed
evt_mp9xdwg0_362112,2026-05-17T15:24:00Z,C_00023,svc_web_app,web_app,m_llama3_70b,meta,prod,us-west,output,2516496,1678,1.761547,526,attributed
evt_mp9q4uao_535369,2026-05-17T12:01:00Z,C_00031,svc_sourcing,backend_service,m_gpt5_mini,openai,prod,us-west,output,333671,222,0.667342,786,attributed
evt_mpaahv6o_752042,2026-05-17T21:31:00Z,,,unknown,m_gpt5,openai,prod,us-west,output,564688,376,16.94064,664,unknown
evt_mp9zyhs0_955105,2026-05-17T16:36:00Z,C_00040,svc_web_app,user_token,m_gpt4o,openai,prod,us-west,cache_read,5101673,850,6.377091,659,attributed
evt_mpa6j4ao_877791,2026-05-17T19:40:00Z,C_00005,svc_trajectory_runner,backend_service,m_claude_haiku,anthropic,staging,us-west,cache_read,7652305,1275,0.612184,1910,attributed
evt_mp91t2io_146540,2026-05-17T00:40:00Z,C_00032,svc_ingest,backend_service,m_gemini_flash,google,prod,us-east,output,0,0,-0.246751,457,attributed
evt_mpa8lphc_228575,2026-05-17T20:38:00Z,C_00024,svc_ingest,user_token,m_claude_sonnet,anthropic,prod,us-west,input,3266546,544,9.799638,1094,partial
evt_mp9ff1eo_237504,2026-05-17T07:01:00Z,C_00039,svc_annotation_api,backend_service,m_claude_sonnet,anthropic,prod,eu,output,1208753,806,18.131295,745,attributed
evt_mp960thc_876159,2026-05-17T02:38:00Z,C_00018,svc_web_app,web_app,m_claude_sonnet,anthropic,staging,us-east,cache_read,11818902,1970,3.545671,412,attributed
evt_mpa2qsw0_715857,2026-05-17T17:54:00Z,C_00036,svc_web_app,web_app,m_gpt4o,openai,prod,eu,input,602562,100,1.506405,965,attributed
evt_mpaazvc0_609162,2026-05-17T21:45:00Z,C_00029,svc_search,backend_service,m_gpt4o,openai,prod,eu,input,3034114,506,7.585285,312,attributed
evt_mp9l4stc_572336,2026-05-17T09:41:00Z,C_00037,svc_maven_agent,backend_service,m_claude_sonnet,anthropic,prod,us-east,input,14168510,2361,42.50553,1400,partial
evt_mp9xbbuo_563120,2026-05-17T15:22:00Z,C_00021,svc_web_app,web_app,m_mistral_large,mistral,prod,apac,input,1219123,203,2.438246,708,attributed
evt_mpa7pk2o_670013,2026-05-17T20:13:00Z,C_00027,svc_voice,backend_service,m_gpt5,openai,staging,us-west,output,5227546,3485,156.82638,1753,attributed
evt_mp92y800_383927,2026-05-17T01:12:00Z,C_00007,svc_trajectory_runner,web_app,m_gpt5,openai,staging,apac,output,579032,386,17.37096,1360,attributed
evt_mpa6zu5c_203057,2026-05-17T19:53:00Z,C_00028,svc_batch_grader,batch_job,m_gemini_flash,google,prod,eu,input,8032862,1339,2.409859,7591,attributed
evt_mpa5a3xc_830835,2026-05-17T19:05:00Z,,,unknown,m_gpt5,openai,prod,eu,input,4942685,824,49.42685,,unknown
evt_mpa8a4tc_631571,2026-05-17T20:29:00Z,C_00009,svc_eval_orchestrator,batch_job,m_claude_opus,anthropic,prod,apac,output,240019,160,18.001425,14593,attributed
evt_mp98t4lc_645389,2026-05-17T03:56:00Z,C_00021,svc_headshot,backend_service,m_gpt5_mini,openai,dev,apac,input,1280709,213,0.640355,933,attributed
evt_mp9q29pc_752796,2026-05-17T11:59:00Z,C_00031,svc_web_app,web_app,m_claude_opus,anthropic,prod,us-west,output,1793569,1196,134.517675,569,attributed
evt_mpa4yj9c_615058,2026-05-17T18:56:00Z,C_00005,svc_eval_orchestrator,batch_job,m_claude_opus,anthropic,prod,apac,output,2054940,1370,154.1205,2061,attributed
evt_mp9m7dpc_978102,2026-05-17T10:11:00Z,C_00031,svc_trajectory_runner,backend_service,m_gpt5_mini,openai,prod,us-west,cache_read,9507348,1585,0.475367,312,partial
evt_mpa3qt6o_956501,2026-05-17T18:22:00Z,C_00002,svc_web_app,web_app,m_claude_sonnet,anthropic,prod,us-east,input,2064284,344,6.192852,183,attributed
evt_mp9cyayo_157443,2026-05-17T05:52:00Z,C_00025,svc_trajectory_runner,backend_service,m_claude_haiku,anthropic,prod,us-east,input,6910136,1152,5.528109,417,attributed
evt_mp91t2io_669616,2026-05-17T00:40:00Z,,,unknown,m_gemini_flash,google,prod,apac,output,128098,85,0.153718,,unknown
evt_mpa1j2tc_211484,2026-05-17T17:20:00Z,C_00017,svc_annotation_api,web_app,m_gemini_pro,google,prod,apac,output,1200522,800,12.605481,782,attributed
evt_mp9ghmao_652775,2026-05-17T07:31:00Z,C_00023,svc_ingest,user_token,m_claude_sonnet,anthropic,prod,us-west,input,1754877,292,5.264631,1289,attributed
evt_mp9pcjs0_154004,2026-05-17T11:39:00Z,,,unknown,m_gpt5_mini,openai,staging,eu,input,15247868,2541,7.623934,2238,unknown
evt_mp9dcg80_118098,2026-05-17T06:03:00Z,C_00010,svc_web_app,user_token,m_gemini_flash,google,prod,us-west,output,2650261,1767,3.180313,1223,attributed
evt_mp9bzkyo_697620,2026-05-17T05:25:00Z,C_00032,svc_maven_agent,backend_service,m_claude_haiku,anthropic,prod,us-east,output,825462,550,3.301848,417,attributed
evt_mp9r8phc_822377,2026-05-17T12:32:00Z,C_00002,svc_web_app,web_app,m_gemini_flash,google,prod,eu,input,6558364,1093,1.967509,1057,attributed
evt_mpa3myao_762509,2026-05-17T18:19:00Z,C_00006,svc_web_app,web_app,m_claude_sonnet,anthropic,dev,eu,input,5573886,929,16.721658,1526,attributed
evt_mp9ukb1c_471498,2026-05-17T14:05:00Z,,,unknown,m_gpt5_mini,openai,prod,apac,output,370586,247,0.741172,520,unknown
evt_mp9qf4o0_148406,2026-05-17T12:09:00Z,C_00017,svc_headshot,backend_service,m_gemini_pro,google,prod,apac,output,155717,104,1.635029,895,attributed
evt_mp9sqpxc_531704,2026-05-17T13:14:00Z,,,unknown,m_gpt4o,openai,prod,us-west,input,1334050,222,3.335125,696,unknown
evt_mp93dnk0_914112,2026-05-17T01:24:00Z,C_00014,svc_trajectory_runner,backend_service,m_claude_opus,anthropic,prod,us-east,input,1397313,233,20.959695,812,attributed
evt_mp9wzr6o_981672,2026-05-17T15:13:00Z,C_00027,svc_trajectory_runner,backend_service,m_claude_haiku,anthropic,prod,us-west,input,4324953,721,3.459962,2044,attributed
evt_mpaagkw0_667739,2026-05-17T21:30:00Z,C_00004,svc_search,user_token,m_gpt4o,openai,staging,eu,cache_read,1862349,310,2.327936,458,attributed
evt_mp9opeg0_935126,2026-05-17T11:21:00Z,C_00010,svc_search,backend_service,m_gpt4o,openai,prod,us-west,input,3518652,586,8.79663,1619,partial
evt_mp97leio_997314,2026-05-17T03:22:00Z,C_00021,svc_maven_agent,backend_service,m_claude_haiku,anthropic,prod,apac,cache_read,8626878,1438,0.69015,596,attributed
evt_mp970ts0_882098,2026-05-17T03:06:00Z,C_00004,svc_sourcing,backend_service,m_claude_sonnet,anthropic,prod,eu,output,3695946,2464,55.43919,581,attributed
evt_mpa8ykg0_685395,2026-05-17T20:48:00Z,C_00032,svc_annotation_api,backend_service,m_claude_sonnet,anthropic,prod,us-east,input,6891197,1149,20.673591,542,attributed
evt_mpa6vz9c_700412,2026-05-17T19:50:00Z,C_00027,svc_annotation_api,backend_service,m_mistral_large,mistral,staging,us-west,output,378493,252,2.270958,780,attributed
evt_mp9o6400_924727,2026-05-17T11:06:00Z,C_00025,svc_trajectory_runner,web_app,m_gemini_flash,google,dev,us-west,input,2326498,388,0.697949,578,attributed
evt_mpa4j3pc_790151,2026-05-17T18:44:00Z,C_00031,svc_web_app,web_app,m_claude_haiku,anthropic,prod,us-west,output,446682,298,1.786728,1641,attributed
evt_mp9ss080_833962,2026-05-17T13:15:00Z,C_00008,svc_trajectory_runner,backend_service,m_gpt5_mini,openai,prod,apac,output,781187,521,1.562374,2163,attributed
evt_mp9kvsqo_654771,2026-05-17T09:34:00Z,C_00034,svc_trajectory_runner,backend_service,m_gpt5,openai,prod,us-west,cache_read,25865599,4311,32.331999,792,attributed
evt_mp9fqm2o_495212,2026-05-17T07:10:00Z,C_00012,svc_trajectory_runner,web_app,m_gpt5_mini,openai,prod,us-west,output,189665,126,0.37933,1022,attributed
evt_mp9yx76o_506493,2026-05-17T16:07:00Z,C_00001,svc_annotation_api,backend_service,m_claude_haiku,anthropic,staging,apac,output,780163,520,3.120652,973,attributed
evt_mp9pb9hc_317163,2026-05-17T11:38:00Z,C_00004,svc_annotation_api,backend_service,m_gpt4o,openai,staging,eu,output,1862028,1241,18.62028,2303,attributed
evt_mp9g9wio_362325,2026-05-17T07:25:00Z,C_00020,svc_batch_grader,batch_job,m_gemini_flash,google,prod,us-east,input,9267259,1545,2.780178,4420,attributed
evt_mpa13n9c_135484,2026-05-17T17:08:00Z,C_00029,svc_search,backend_service,m_claude_sonnet,anthropic,prod,eu,input,8893443,1482,26.680329,2447,partial
evt_mp9z8ruo_690650,2026-05-17T16:16:00Z,C_00036,svc_sourcing,backend_service,m_claude_sonnet,anthropic,prod,eu,cache_write,3186564,531,11.949615,2779,attributed
evt_mp9ek6ao_392826,2026-05-17T06:37:00Z,C_00018,svc_annotation_api,backend_service,m_claude_opus,anthropic,prod,us-east,output,220124,147,16.5093,2143,attributed
evt_mp9z2cdc_676819,2026-05-17T16:11:00Z,C_00036,svc_annotation_api,backend_service,m_gpt4o,openai,prod,eu,input,4387404,731,10.96851,1862,partial
evt_mp9k4sio_630423,2026-05-17T09:13:00Z,C_00031,svc_search,backend_service,m_claude_opus,anthropic,prod,us-west,cache_read,1260863,210,1.891295,632,attributed
evt_mp9phoyo_814801,2026-05-17T11:43:00Z,,,unknown,m_gemini_flash,google,prod,eu,input,10405524,1734,3.121657,1427,unknown
evt_mpa6o9hc_313185,2026-05-17T19:44:00Z,C_00006,svc_web_app,web_app,m_gpt4o,openai,prod,eu,cache_write,1770128,295,5.310384,1461,attributed
evt_mp9dlgao_759203,2026-05-17T06:10:00Z,C_00016,svc_web_app,web_app,m_claude_sonnet,anthropic,staging,apac,output,364393,243,5.465895,941,attributed
evt_mpa4hteo_461525,2026-05-17T18:43:00Z,C_00006,svc_batch_grader,batch_job,m_claude_haiku,anthropic,dev,eu,output,328331,219,1.313324,5301,partial
evt_mp9q8p6o_561428,2026-05-17T12:04:00Z,C_00030,svc_trajectory_runner,backend_service,m_gpt5_mini,openai,dev,apac,input,4590283,765,2.295142,623,attributed
evt_mp93p880_225410,2026-05-17T01:33:00Z,,,unknown,m_claude_haiku,anthropic,prod,apac,output,793238,529,3.172952,1074,unknown
evt_mp998k5c_788170,2026-05-17T04:08:00Z,C_00031,svc_eval_orchestrator,batch_job,m_gemini_flash,google,prod,apac,output,1741767,1161,2.09012,7288,attributed
evt_mp94dnuo_134600,2026-05-17T01:52:00Z,C_00039,svc_batch_grader,batch_job,m_claude_sonnet,anthropic,staging,apac,input,1867029,311,5.601087,11184,attributed
evt_mp9npe5c_203494,2026-05-17T10:53:00Z,C_00027,svc_search,backend_service,m_gpt5,openai,prod,us-west,output,2352768,1569,70.58304,958,attributed
evt_mp9b4puo_320084,2026-05-17T05:01:00Z,C_00029,svc_trajectory_runner,backend_service,m_claude_opus,anthropic,prod,us-west,output,736089,491,55.206675,627,attributed
evt_mp9mo3k0_121763,2026-05-17T10:24:00Z,,,unknown,m_gpt5,openai,prod,us-west,output,641998,428,19.25994,,unknown
evt_mpacob9c_347305,2026-05-17T22:32:00Z,C_00021,svc_eval_orchestrator,batch_job,m_claude_haiku,anthropic,prod,apac,input,14765569,2461,11.812455,8210,attributed
evt_mp98ruao_371966,2026-05-17T03:55:00Z,C_00014,svc_batch_grader,batch_job,m_claude_haiku,anthropic,prod,eu,output,1619463,1080,6.477852,,attributed
evt_mpa9faao_706454,2026-05-17T21:01:00Z,C_00036,svc_annotation_api,backend_service,m_claude_haiku,anthropic,staging,eu,output,733243,489,2.932972,250,attributed
evt_mp99g9xc_903970,2026-05-17T04:14:00Z,C_00037,svc_annotation_api,backend_service,m_claude_sonnet,anthropic,prod,us-east,cache_read,11483368,1914,3.44501,842,attributed
evt_mp9wvwao_960386,2026-05-17T15:10:00Z,C_00017,svc_batch_grader,batch_job,m_claude_sonnet,anthropic,staging,apac,cache_read,2262687,377,0.678806,,partial
evt_mp9vzqw0_239140,2026-05-17T14:45:00Z,C_00029,svc_search,backend_service,m_llama3_70b,meta,prod,eu,output,379534,253,0.265674,332,attributed
evt_mpa3s3hc_148979,2026-05-17T18:23:00Z,C_00033,svc_eval_orchestrator,batch_job,m_gpt5,openai,prod,apac,input,4004330,667,40.0433,3299,attributed
evt_mpa42duo_715141,2026-05-17T18:31:00Z,C_00032,svc_annotation_api,web_app,m_mistral_large,mistral,prod,us-east,output,1260687,840,7.564122,960,attributed
evt_mpa3dy80_842362,2026-05-17T18:12:00Z,C_00021,svc_annotation_api,backend_service,m_claude_haiku,anthropic,prod,apac,output,446049,297,1.784196,684,attributed
evt_mp92mnc0_878973,2026-05-17T01:03:00Z,C_00032,svc_web_app,web_app,m_claude_sonnet,anthropic,prod,us-east,output,613451,409,9.201765,486,attributed
evt_mp9xqreo_172672,2026-05-17T15:34:00Z,C_00035,svc_maven_agent,backend_service,m_claude_sonnet,anthropic,prod,us-east,output,311587,208,4.673805,1492,attributed
evt_mp9uygao_221272,2026-05-17T14:16:00Z,C_00015,svc_web_app,web_app,m_gemini_flash,google,prod,us-east,input,19591360,3265,5.877408,665,attributed
evt_mp9gvrk0_676215,2026-05-17T07:42:00Z,C_00024,svc_annotation_api,backend_service,m_llama3_70b,meta,prod,eu,cache_read,4803404,801,0.288204,467,attributed
evt_mp9hcheo_654625,2026-05-17T07:55:00Z,C_00002,svc_batch_grader,web_app,m_gemini_flash,google,prod,us-east,input,10902792,1817,3.270838,466,attributed
evt_mpa769mo_264659,2026-05-17T19:58:00Z,C_00036,svc_headshot,backend_service,m_claude_sonnet,anthropic,prod,eu,input,6953066,1159,20.859198,547,attributed
evt_mp9qvuio_253976,2026-05-17T12:22:00Z,C_00031,svc_headshot,web_app,m_gemini_flash,google,prod,us-east,cache_write,2409158,402,0.963663,1203,attributed
evt_mp9z679c_122407,2026-05-17T16:14:00Z,C_00036,svc_voice,user_token,m_gemini_flash,google,prod,eu,input,7571866,1262,2.27156,755,attributed
evt_mpa6f9eo_603088,2026-05-17T19:37:00Z,C_00002,svc_sourcing,backend_service,m_claude_opus,anthropic,dev,us-east,cache_read,9204219,1534,13.806329,859,attributed
evt_mp9mk8o0_725186,2026-05-17T10:21:00Z,C_00029,svc_playground,web_app,m_gemini_flash,google,prod,us-east,input,4008682,668,1.202605,1961,attributed
evt_mp95do5c_899340,2026-05-17T02:20:00Z,C_00018,svc_batch_grader,user_token,m_claude_sonnet,anthropic,prod,us-east,output,1487115,991,22.306725,363,attributed
evt_mp9cyayo_819355,2026-05-17T05:52:00Z,C_00024,svc_web_app,web_app,m_gemini_pro,google,dev,us-west,input,3490412,582,12.216442,1103,attributed
evt_mpa4pj6o_136625,2026-05-17T18:49:00Z,C_00028,svc_search,backend_service,m_mistral_large,mistral,prod,eu,output,10147220,6765,60.88332,1605,attributed
evt_mpa6j4ao_514526,2026-05-17T19:40:00Z,C_00029,svc_trajectory_runner,backend_service,m_claude_sonnet,anthropic,staging,eu,output,2983865,1989,44.757975,199,attributed
evt_mp9ivs5c_803540,2026-05-17T08:38:00Z,C_00029,svc_trajectory_runner,backend_service,m_gpt5,openai,staging,eu,output,316168,211,9.48504,719,attributed
evt_mp9whr1c_827954,2026-05-17T14:59:00Z,C_00032,svc_batch_grader,batch_job,m_gpt5,openai,prod,us-west,input,2890126,482,28.90126,,attributed
evt_mpabbg00_290820,2026-05-17T21:54:00Z,C_00018,svc_sourcing,backend_service,m_claude_haiku,anthropic,prod,us-east,output,1730753,1154,6.923012,885,attributed
evt_mp9m0y80_117831,2026-05-17T10:06:00Z,C_00017,svc_trajectory_runner,backend_service,m_gpt4o,openai,prod,apac,output,1164520,776,11.6452,416,attributed
evt_mpa87k80_175945,2026-05-17T20:27:00Z,C_00032,svc_eval_orchestrator,batch_job,m_mistral_large,mistral,prod,eu,input,8801618,1467,17.603236,2855,attributed
evt_mp9kciao_375506,2026-05-17T09:19:00Z,C_00017,svc_trajectory_runner,backend_service,m_claude_sonnet,anthropic,prod,apac,output,456741,304,6.851115,1274,attributed
evt_mpa7pk2o_838542,2026-05-17T20:13:00Z,C_00038,svc_headshot,backend_service,m_gpt5,openai,prod,eu,output,602507,402,18.07521,597,attributed
evt_mp92ccyo_308649,2026-05-17T00:55:00Z,C_00014,svc_eval_orchestrator,batch_job,m_claude_sonnet,anthropic,staging,eu,input,1386552,231,4.159656,4028,attributed
evt_mp9pb9hc_478168,2026-05-17T11:38:00Z,C_00027,svc_web_app,user_token,m_claude_sonnet,anthropic,staging,us-west,input,4083675,681,12.251025,1042,attributed
evt_mpadobk0_370179,2026-05-17T23:00:00Z,C_00009,svc_annotation_api,backend_service,m_gemini_pro,google,prod,apac,input,18880816,3147,66.082856,1008,attributed
evt_mp9i9x40_971438,2026-05-17T08:21:00Z,C_00018,svc_voice,backend_service,m_claude_sonnet,anthropic,prod,us-east,input,2194399,366,6.583197,670,attributed
evt_mp9pb9hc_898313,2026-05-17T11:38:00Z,C_00024,svc_trajectory_runner,backend_service,m_gpt5_mini,openai,staging,eu,input,1893828,316,0.946914,693,attributed
evt_mpa2giio_109797,2026-05-17T17:46:00Z,C_00010,svc_trajectory_runner,backend_service,m_mistral_large,mistral,prod,us-west,cache_read,2243446,374,0.448689,1514,attributed
evt_mp9qyf40_691891,2026-05-17T12:24:00Z,C_00021,svc_ingest,backend_service,m_gpt4o,openai,prod,apac,output,127703,85,1.27703,655,attributed
evt_mp998k5c_533294,2026-05-17T04:08:00Z,C_00034,svc_batch_grader,batch_job,m_llama3_70b,meta,staging,us-west,input,9446922,1574,5.668153,3370,attributed
